segment_id,year_month,total_amt,txn_cnt,avg_ticket,ratio_종합소매점,ratio_연료판매,ratio_일반병원,ratio_한식,ratio_음/식료품소매,ratio_제조/도매,ratio_의약/의료품,ratio_차량관리/서비스,ratio_특화병원,ratio_의복/의류,ratio_차량판매,ratio_고기요리
안산시_F_6,202501,60924549605.0,1635691.0,37246.97978102221,0.35900311820475217,0.09658227019339942,0.15228656629751422,0.06657513667894696,0.09209959192341138,0.02944589064024141,0.043533207734871716,0.030506825568409106,0.04141350472540742,0.06585139760354139,0.001487596320038524,0.021214894109466264
안산시_M_7,202501,45523303722.0,1226452.0,37117.884533597724,0.27628491551638823,0.1963818256525357,0.12083854915816404,0.0789818078892348,0.08979134211230606,0.03562380193264638,0.052772333722753445,0.05505999431240992,0.03690544269750853,0.0274258319693119,0.003970882521731416,0.025963272515009603
안산시_F_7,202501,37573615590.0,969492.0,38755.983123120146,0.3604537999950184,0.08165431472516965,0.16435572529109096,0.0558452673448777,0.11796642885691912,0.023230491274262542,0.06306291720617191,0.022349303648644427,0.03653801816793944,0.05582638651321821,0.0029078897852580217,0.015809457191429635
안산시_F_5,202501,49450156464.0,1373606.0,36000.247861468284,0.3615841708039682,0.10357712687667175,0.15048401985210508,0.06591704649030461,0.0685415502506335,0.021881760321687867,0.04217712249635841,0.02907123795119682,0.049093938110421384,0.0833894221544354,0.0012278956092065354,0.023054709083010414
안산시_M_11,202501,11027.0,2.0,5513.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
용인시_F_4,202501,60789311181.0,1794024.0,33884.33553898944,0.39505990389699125,0.1446929882435897,0.1005127855820802,0.07020469708022889,0.045013088165867444,0.0812821484602145,0.03273620855936605,0.024714977549378483,0.0316459333803959,0.05087404927092426,0.0027648777424600594,0.020498342068503247
용인시_F_5,202501,105618057484.0,2814995.0,37519.8028714083,0.4040506474632004,0.12477195405138702,0.10233583793204815,0.06728603675551063,0.05952356997877986,0.06538128705034356,0.03705460993461016,0.023323196239562454,0.04145850663753793,0.052646725616052874,0.004147503606326707,0.01802012473464022
용인시_M_2,202501,723003421.0,97029.0,7451.415772604067,0.4865256783684338,0.02451960379652046,0.05278167236744388,0.16773486276446822,0.039341313132784016,0.03507442539374409,0.027672668601619085,0.032326090427475175,0.020340969320699228,0.05363200483295668,0.0,0.060050710993855325
용인시_M_4,202501,80465383507.0,2616994.0,30747.25563260749,0.34983929259811314,0.23653083692706958,0.053301980095079686,0.08023857795273417,0.03673349979983561,0.09031768892585468,0.02111431944648411,0.036621885198473224,0.016940376114836182,0.03144023707212693,0.020022014692417992,0.026899291176974663
용인시_M_5,202501,137114103914.0,3725404.0,36805.1636584918,0.35317031691701933,0.2368867225873311,0.07128218836565284,0.07602168133703016,0.04439885388203218,0.05772395264687572,0.026786121287906885,0.0375312680870758,0.02755430800292301,0.03500451718558231,0.008544970363201591,0.025095099337369045
용인시_M_6,202501,128807839652.0,3418019.0,37684.939624969906,0.311767132435254,0.24926034158318508,0.0764670639476131,0.08373543314863181,0.05693126047409766,0.04963883808040722,0.033394522251549506,0.045836827251830595,0.028657127574909593,0.03283196739846574,0.006748441773392002,0.024731044080663702
용인시_M_9,202501,8281011098.0,232683.0,35589.23985851996,0.3571951944095322,0.08716760537479461,0.13208001249931475,0.0930562323684797,0.09477067249987123,0.02759916932313826,0.09056500126805438,0.027095052680462615,0.04124702688249602,0.023186273982057966,0.0025236256105181315,0.02351413310128015
용인시_F_9,202501,7635361529.0,197145.0,38729.6737376043,0.3937700845944032,0.04490986364414968,0.12205659965358898,0.07795283989794737,0.11845573412650014,0.06994611244402983,0.08199760252556801,0.011256567735267307,0.035554594479884,0.027481727722592664,0.0013331292004464333,0.015285143975622412
용인시_F_10,202501,461229073.0,9945.0,46377.98622423328,0.37647109854161537,0.0595521935869014,0.20437950785766607,0.08840861885336723,0.08506970104637872,0.026622127002723997,0.05580726595028726,0.05211987182690983,0.026486446557841607,0.011780251662313437,0.0,0.013302917113995083
용인시_M_10,202501,538158642.0,13201.0,40766.50571926369,0.32832206485098997,0.04417018932870363,0.2182750941192933,0.10201554565672688,0.09209915109746336,0.009955703538197396,0.10121800465374134,0.018051039435896064,0.03722306440796188,0.024892933130614407,0.0,0.023777209780411777
용인시_F_11,202501,10105556.0,239.0,42282.66108786611,0.46517448814293044,0.036347049466407065,0.35715834576978966,0.07406295403422508,0.004966187992559167,0.0,0.015087713675108848,0.0,0.018550624908082514,0.0,0.0,0.028652636010897202
용인시_M_11,202501,1077030.0,112.0,9616.339285714286,0.06775176028782881,0.0,0.0,0.05982305255247811,0.0,0.0,0.0,0.8724251871596931,0.0,0.0,0.0,0.0
화성시_F_5,202501,84873572646.0,2197954.0,38614.8084291118,0.31015317475145604,0.09339375399786001,0.1289317296642177,0.058813592132383616,0.052539438133630996,0.09570548873001414,0.04291827656465588,0.015352942552000358,0.05752654066355295,0.0456980352897099,0.07910490778987675,0.019862119730641666
화성시_M_3,202501,30899702509.0,1565983.0,19731.825000015964,0.3840127083656648,0.1219311158487615,0.057396548379836584,0.09668610516077462,0.03495224664809792,0.0646432399752803,0.02221755298233866,0.018378885457658686,0.025666907476925887,0.03609337156059366,0.09253686252392644,0.04548445562014091
화성시_F_3,202501,17629749693.0,711298.0,24785.321613444718,0.31144648438538935,0.08227964307265145,0.1140718227868473,0.0964756275163184,0.038542811107121905,0.04343590687158307,0.04260552858706439,0.012629252107716813,0.05371727919433182,0.046647938162385154,0.11368470805651135,0.044462998152078985
