segment_id,year_month,total_amt,txn_cnt,avg_ticket,ratio_종합소매점,ratio_연료판매,ratio_일반병원,ratio_한식,ratio_음/식료품소매,ratio_제조/도매,ratio_의약/의료품,ratio_차량관리/서비스,ratio_특화병원,ratio_의복/의류,ratio_차량판매,ratio_고기요리,carbon_kg,carbon_score,cluster,cluster_name
포천시_M_7,202501,16725526033.0,340564.0,49111.25671826735,0.1912757388839707,0.3631670535874401,0.0389290305313006,0.0962092964218375,0.0919027308237373,0.0463259210127599,0.0275477044570056,0.0632968248762048,0.0150115686860938,0.0196018783180427,0.0017659029883029,0.0449663494133035,885454.0605656174,37.4,1,연료판매/종합소매점/한식
포천시_M_3,202501,6760571710.0,353045.0,19149.320086674503,0.3898361058367761,0.2056721455443976,0.0253579290773659,0.1137849957677752,0.0632508889392227,0.0330602715856986,0.0166607526352887,0.0381121306365925,0.0111526718984315,0.0385211505374846,0.0014991773956617,0.0630917801453047,377092.33558405534,50.2,1,종합소매점/연료판매/한식
포천시_M_8,202501,4376471278.0,95114.0,46012.90323191118,0.1906554100543636,0.3288244026369211,0.0558948771862206,0.0938580502764683,0.1208797361056769,0.0299891382750556,0.0440110066546308,0.0413387226809279,0.0245078772517809,0.0181059409252357,0.0009024367672706,0.0510324011854474,230709.5834630687,56.6,1,연료판매/종합소매점/음/식료품소매
포천시_F_2,202501,32127307.0,2933.0,10953.73576542789,0.4105338286126782,0.0386938656556683,0.0248920485128177,0.2257661852870231,0.0942649288798613,0.0209233405729994,0.0408501068789793,0.0,0.0022796511232159,0.098035937878059,0.0,0.0437601065986973,2078.809950986199,87.2,2,종합소매점/한식/의복/의류
포천시_M_2,202501,51477939.0,4529.0,11366.292559063811,0.3567194750140238,0.0631413621287122,0.1993180556455873,0.1075983325662017,0.0407764047470656,0.0016716346131212,0.0127135127539999,0.0034972146062333,0.0002648686213251,0.1500689331994384,0.0,0.064230206104291,3732.6828583553634,84.0,2,종합소매점/일반병원/의복/의류
포천시_F_9,202501,462667098.0,9572.0,48335.46782281655,0.2460231290470036,0.233734474253716,0.094565061004485,0.110067228819578,0.1086838403084129,0.0373911667534879,0.0596347295273976,0.0197052184916921,0.0104702165781631,0.0323110561065013,0.0,0.0474138791095621,25375.744284316515,71.2,1,종합소매점/연료판매/한식
하남시_M_6,202501,40043263189.0,980073.0,40857.42918027534,0.4213911520026889,0.1939803944664328,0.0594514767678776,0.0916101750253569,0.0398645226684237,0.0263020267944115,0.0348765491493103,0.0461744876284034,0.0334389500366508,0.021131105621557,0.0034875054183939,0.0282916544204927,2129086.9230317837,21.0,1,종합소매점/연료판매/한식
하남시_M_7,202501,23616820466.0,563717.0,41894.81684249366,0.3697876372384393,0.225589406676973,0.0627596597934688,0.1025944840490147,0.0531242574419419,0.0222521006123735,0.0334632687026791,0.0504466968239213,0.0316206783444596,0.015466524325987,0.003366909399685,0.0295283765910564,1235631.5425359784,30.6,1,종합소매점/연료판매/한식
하남시_M_5,202501,52225829284.0,1318587.0,39607.42012775797,0.4760574964984914,0.1563506237062693,0.0612407242023247,0.0837436977990493,0.0407222648281735,0.0224019258133927,0.0369307196186017,0.0354624127755081,0.0339400703903914,0.0247948662408273,0.0019165959828749,0.0264386021440951,2805531.331911958,15.5,0,종합소매점/연료판매/한식
하남시_M_9,202501,1636663514.0,40883.0,40032.86241224959,0.4124235968713935,0.1237957356435425,0.1071720682215485,0.1105054341961325,0.0695529349658602,0.0055575959005379,0.0653685735016314,0.0282812996830652,0.0320587728754523,0.0114253603566692,0.0010473283154007,0.0328112994687654,84638.09626450932,63.5,1,종합소매점/연료판매/한식
하남시_F_6,202501,31997457801.0,766989.0,41718.27470928527,0.4917248106728349,0.102505091461234,0.1011647802168297,0.0861658620949158,0.0524273142742852,0.0234588082141045,0.0312809209325084,0.0227450524217361,0.0383316730640746,0.0282449308597599,0.001570162560784,0.0203805932269323,1735437.7875415985,25.1,1,종합소매점/연료판매/일반병원
하남시_F_7,202501,21985683260.0,518105.0,42434.80232771349,0.4721905723121166,0.0928493065456087,0.1036964305415391,0.0856671117078088,0.0811688475393421,0.0256560531137269,0.0340775010018629,0.0233555753366635,0.0331711552008558,0.0247897520000765,0.0022352070100575,0.0211424876903411,1181037.1083351444,32.4,1,종합소매점/일반병원/연료판매
하남시_M_4,202501,34118436141.0,1007835.0,33853.196347616424,0.4992719121851984,0.1520633526548009,0.0628539234957204,0.0898634119652898,0.0377893724377371,0.0226541227164974,0.0230715378508853,0.0358532790136139,0.0209955426699319,0.0268287968158837,0.0029652374231633,0.0257895107712773,1843225.2956853877,24.2,1,종합소매점/연료판매/한식
하남시_M_3,202501,10386386670.0,518274.0,20040.33902916218,0.476531077142023,0.1427211861708348,0.0532652837898422,0.1176833632596501,0.0296097380258847,0.0289635605840221,0.0220293468084389,0.0383474828969731,0.0228369121316807,0.0287075695201286,0.0005629726914724,0.038741506979049,564044.521108794,43.8,1,종합소매점/연료판매/한식
하남시_F_3,202501,9002952750.0,363220.0,24786.50060569352,0.4532416194724387,0.0667777557373909,0.1336784554018158,0.1215296163945307,0.0208414019016788,0.0262078751847054,0.045061914401269,0.0221340377797113,0.0421467416620881,0.0377166989588668,0.0004612743260077,0.0302026087794965,501081.88629189774,46.6,1,종합소매점/일반병원/한식
하남시_M_10,202501,81859878.0,1712.0,47815.34929906542,0.5596851079905986,0.0848739635297079,0.0507811602827699,0.1010804176406108,0.0700357877826105,0.0013383560390528,0.0595205257293713,0.0019524364276617,0.010134363555753,0.0147788996028119,0.0,0.0458189814190511,4274.463737769062,82.2,1,종합소매점/한식/연료판매
하남시_F_10,202501,110449422.0,2435.0,45359.105544147846,0.6170086385973199,0.0721600587367106,0.0837124480392129,0.0710028270065262,0.0289025224970034,0.0001125406934477,0.0567168862250629,0.0131260435227044,0.0188459447490621,0.0161092546390524,0.0,0.0223028352938969,5789.359779560121,81.3,1,종합소매점/일반병원/연료판매
광명시_F_6,202501,29289236080.0,779948.0,37552.806187079135,0.2532465042763409,0.0490054821500943,0.1475885389366953,0.0698072103658071,0.1479147358750905,0.0509850093297973,0.0531686434713256,0.0345220845646368,0.051246974475506,0.0226345629416838,0.1003058160824401,0.019574437530582,1563904.1626349888,28.3,4,종합소매점/음/식료품소매/일반병원
광명시_F_5,202501,32504940545.0,783042.0,41511.1073799362,0.2099553209824245,0.0413404255752465,0.1503740828757286,0.0500376324618639,0.1451355597050107,0.0734126138595344,0.0420565459942348,0.033117172619991,0.0510757143283733,0.0189316198345734,0.1670821550549044,0.0174811567081139,1717552.703821502,25.6,4,종합소매점/차량판매/일반병원
광명시_M_6,202501,38216475673.0,881146.0,43371.33196201311,0.176325699765612,0.1007735895602335,0.0883619690600125,0.0728799703003518,0.1069694850549844,0.1051113102125981,0.0428465256046448,0.047196298695872,0.0354894128197943,0.013014607590297,0.1833417103371333,0.0276894209984658,1985429.6488052332,23.3,4,차량판매/종합소매점/음/식료품소매
광명시_M_9,202501,1239282118.0,39276.0,31553.16524085956,0.2042015331093739,0.0486511958563644,0.1657208407198885,0.0897206450659653,0.1414997897186351,0.003828268161509,0.1579112405387147,0.069762273193661,0.0744397453094871,0.0217705927138332,0.0019630154955474,0.0205308601170198,66011.09183727716,65.3,3,종합소매점/일반병원/의약/의료품
광명시_F_8,202501,6605924984.0,207413.0,31849.13666935052,0.2607783548026669,0.0255269181388933,0.1636694590368109,0.0745104933707882,0.2011071235405324,0.0057143570082642,0.108494495756905,0.0401879964162357,0.0600141339260355,0.0438674860662201,0.0010545778349449,0.0150746041017024,373764.0475285172,50.7,3,종합소매점/음/식료품소매/일반병원
